date,socat_lon,socat_lat,socat_fco2,socat_salinity,socat_sst
27/04/2016 13:30,97.032,8.182,415.9929,32.6554,31.0228
27/04/2016 13:49,97.0377,8.1793,416.4137,32.6574,31.026
27/04/2016 13:52,97.0438,8.1773,416.6604,32.6614,31.038
27/04/2016 13:54,97.0497,8.1752,417.013,32.6664,31.047
27/04/2016 13:57,97.0554,8.1724,417.2191,32.6684,31.047
27/04/2016 13:59,97.0613,8.1704,417.3762,32.6694,31.0599
27/04/2016 14:02,97.0671,8.1685,417.3198,32.6694,31.0471
27/04/2016 14:04,97.073,8.166,417.1267,32.6704,31.0679
27/04/2016 14:07,97.0788,8.164,417.2205,32.6714,31.0889
27/04/2016 14:09,97.0844,8.1616,417.5732,32.6785,31.086
27/04/2016 14:11,97.0899,8.1599,418.1345,32.6835,31.085
27/04/2016 14:14,97.0954,8.1574,418.8042,32.6885,31.09
27/04/2016 14:16,97.1011,8.1553,419.0392,32.6935,31.079
27/04/2016 14:19,97.1077,8.1533,419.52,32.6995,31.069
27/04/2016 14:22,97.1134,8.1509,419.6786,32.7035,31.06
27/04/2016 14:24,97.1191,8.1486,419.7182,32.7106,31.0451
27/04/2016 14:26,97.125,8.1465,419.8972,32.7116,31.0291
27/04/2016 14:29,97.1311,8.1442,419.7368,32.7176,30.9862
27/04/2016 14:31,97.1371,8.1416,419.585,32.7196,31.0039
27/04/2016 14:34,97.1433,8.1396,419.7815,32.7276,31.006
27/04/2016 14:36,97.1493,8.1373,420.0516,32.7306,30.996
27/04/2016 14:39,97.1551,8.1347,420.2968,32.7407,30.984
27/04/2016 14:41,97.1609,8.1326,421.1571,32.7557,30.973
27/04/2016 14:44,97.1669,8.1307,421.4764,32.7648,30.974
27/04/2016 14:46,97.1728,8.1284,422.0367,32.7758,31.0049
27/04/2016 14:48,97.1786,8.1258,423.1246,32.7828,31.0369
27/04/2016 14:51,97.1844,8.1237,423.9279,32.7828,31.036
27/04/2016 14:53,97.1903,8.1219,425.1228,32.8069,31.1007
27/04/2016 14:56,97.1961,8.1195,426.3015,32.8189,31.106
27/04/2016 14:59,97.2027,8.1168,427.202,32.831,31.0891
27/04/2016 15:01,97.2087,8.1146,427.2351,32.839,31.0661
27/04/2016 15:03,97.2147,8.1124,427.6196,32.848,31.076
27/04/2016 15:06,97.2208,8.11,428.0169,32.8581,31.0561
27/04/2016 15:08,97.227,8.1077,428.0757,32.8721,31.068
27/04/2016 15:11,97.2331,8.1054,428.2583,32.8751,31.056
27/04/2016 15:13,97.2392,8.1031,427.4421,32.8791,31.0361
27/04/2016 15:16,97.2453,8.1008,426.6468,32.8862,31.033
27/04/2016 15:18,97.2513,8.0982,425.7654,32.8912,31.033
27/04/2016 15:21,97.2575,8.0963,424.7087,32.8982,31.025
27/04/2016 15:23,97.2637,8.0937,424,32.9062,31.0469
27/04/2016 15:25,97.2699,8.0915,423.52,32.9333,31.035
27/04/2016 15:28,97.2761,8.089,423.3223,32.9404,31.0669
27/04/2016 15:30,97.2823,8.0871,423.8028,32.9243,31.071
27/04/2016 15:33,97.2884,8.0844,422.673,32.834,30.9575
27/04/2016 15:35,97.2944,8.0819,421.8239,32.8089,30.8953
27/04/2016 15:38,97.3013,8.0797,421.1909,32.7788,30.8372
27/04/2016 15:40,97.3075,8.0774,420.3596,32.7688,30.825
27/04/2016 15:43,97.3137,8.0749,419.9903,32.7698,30.8101
27/04/2016 15:45,97.3197,8.0723,418.7655,32.7668,30.7951
27/04/2016 16:18,97.3985,8.0431,423.6699,33.0226,31.0979
27/04/2016 16:20,97.4045,8.0406,423.778,33.0216,31.108
27/04/2016 16:23,97.4107,8.0376,423.7943,33.0156,31.097
27/04/2016 16:25,97.4172,8.0349,423.2697,33.0116,31.0741
27/04/2016 16:28,97.4235,8.0326,422.8875,33.0076,31.0332
27/04/2016 16:30,97.4297,8.0307,422.0759,33.0026,30.9802
27/04/2016 16:33,97.4358,8.0288,421.2082,32.9996,30.9521
27/04/2016 16:35,97.4415,8.0261,420.7958,33.0006,30.9709
27/04/2016 16:38,97.4473,8.0239,420.691,33.0006,30.972
27/04/2016 16:40,97.4532,8.0221,420.2759,32.9965,30.96
27/04/2016 16:42,97.4589,8.0196,420.429,32.9945,30.9859
27/04/2016 16:45,97.4647,8.0172,420.1918,32.9915,30.9631
27/04/2016 16:47,97.4705,8.0154,419.9019,32.9885,30.9421
27/04/2016 16:50,97.476,8.0134,419.4706,32.9835,30.9111
27/04/2016 16:52,97.4814,8.0108,418.7142,32.9815,30.901
27/04/2016 16:55,97.4878,8.0084,418.3982,32.9765,30.891
27/04/2016 16:57,97.4934,8.0067,418.0473,32.9755,30.897
