date,DOY,WS,WD,FCO2,RN,RH,H2O,H,LE,ZL,SH,SLE,P_RAIN,TA,ET,PPFD,USTAR,RG,TS,H_QC,LE_QC,FCO2_QC,co2_mole_fraction,air_pressure,FCO2_mmol,PP_air_30,EMA,PCO2_sw,LAT,LON,CHL,SST,POC,PIC,PAR
01/01/2016,21.19775812,0.827758351,191.7059051,-0.033396534,66.7009171,75.74737324,30.68463442,1.148107363,9.095906195,-1.195013671,-0.07602207,0.160640704,NA,29.10458685,0.012469173,NA,0.044625074,325.7110661,30.44470484,1.084415584,1.087027915,1.180194805,383.5647225,100869.7192,-2.885460562,382.1442095,30.65997366,354.5873526,6.02,99.98,1.256153846,30.20875,199.4923077,4.54E-05,48.40866667
01/02/2016,51.19775321,0.935418639,182.4455138,-0.026920898,61.29431978,68.73420915,28.53607352,1.046524986,10.83345845,-0.744809967,-0.036330124,0.248867444,NA,29.44171397,0.015285609,NA,0.049768268,358.4106695,29.9528317,1.096601073,1.061041293,1.152057245,389.5571348,100961.8569,-2.325965562,388.3940097,30.2555203,367.8314786,6.02,99.98,1.27,29.98818182,229.95,0.000149498,47.93511111
01/03/2016,81.19773831,0.751377779,221.3374437,0.000484046,59.80266506,72.19337588,30.88699796,1.300933031,7.651725912,-1.03345713,-0.074335299,0.207753317,NA,29.93108101,0.010602479,NA,0.04621668,397.4884915,31.03710996,1.090289608,1.070567986,1.168654174,387.9045926,100843.1193,0.041821561,386.2654846,31.1613727,387.1169317,6.02,99.98,0.881666667,30.4935,195.7333333,0.000160164,56.341
01/04/2016,111.6977607,0.668932882,235.9745104,-0.001259363,57.96681396,75.67444411,33.34361922,1.452015723,8.273482371,-1.042814955,-0.187500083,-0.157319922,NA,30.26510545,0.011140449,NA,0.049507282,372.7439424,32.02424028,1.06292517,1.090434783,1.195578231,389.881146,100670.8143,-0.108808968,387.6265588,32.03517724,385.51274,6.02,99.98,0.595,31.99928571,137.05,7.85E-05,55.39431579
01/05/2016,142.1977524,0.52713628,208.984924,0.02603684,77.92229572,78.47463312,33.18637997,1.566482295,7.203415727,-1.797835024,-0.189710049,-0.074340322,NA,29.44075915,0.009799282,NA,0.042373443,278.6478151,31.65434765,1.034482759,1.097731239,1.231527094,393.6049608,100648.7603,2.249582972,391.1136209,31.65171684,410.3069209,6.02,99.98,0.355,32.604,90.1,2.20E-05,44.03408696
01/06/2016,172.6977565,0.504832322,204.4437942,0.017045852,67.22215432,74.55267495,31.5115201,1.562041928,7.488453059,-1.704753673,-0.178046429,-0.331108238,NA,29.31450506,0.009629311,NA,0.041416008,323.6485766,30.99520174,1.04770017,1.095818815,1.228279387,394.7619141,100659.1635,1.472761654,392.1914095,30.99520174,403.5075611,6.02,99.98,0.44,32.12,111.6,6.85E-05,43.2
01/07/2016,203.1977571,0.56829964,227.123195,0.017070781,54.77383353,77.3568147,31.04790537,1.726190419,7.997293051,-1.556645413,-0.268980391,-0.213542201,NA,28.55159136,0.010903389,NA,0.045493276,321.629558,30.84847996,1.058631922,1.091397849,1.213355049,388.9085036,100652.0293,1.474915457,386.4097311,30.86308528,397.3972401,6.02,99.98,0.525,31.395,139.95,0.000194998,46.14136364
01/08/2016,234.197755,0.571266124,221.866676,0.0263138,69.09825389,80.77633789,32.00278597,1.455257943,7.247487929,-1.879795274,-0.233425993,-0.475231651,NA,28.37398248,0.009331145,NA,0.040140341,277.8241368,31.10156334,1.066884176,1.122483221,1.216965742,386.7955066,100605.398,2.273512328,384.0479951,31.02794192,403.0542044,6.02,99.98,0.48,31.14666667,137,1.40E-05,46.34266667
01/09/2016,264.6977571,0.779451297,234.415132,0.014039808,83.17112614,77.99259652,31.2794753,1.437335777,9.253809276,-1.621123302,-0.035576252,-0.221751254,NA,28.66825256,0.012201575,NA,0.044609762,295.5851676,30.3251208,1.04770017,1.083478261,1.153583618,385.7663864,100639.1567,1.213039423,383.0392039,30.77876066,392.1543097,6.02,99.98,0.74,31.19333333,165.4,0.000540995,45.176
01/10/2016,290.6977569,0.662364038,231.6539538,0.022669485,66.31084256,83.07071691,31.46903587,1.265532637,7.332099601,-1.757232924,-0.082654668,-0.040195833,NA,27.73144329,0.009245901,NA,0.039603926,235.0285116,29.8580773,1.044982699,1.120879121,1.24595843,388.3393737,100650.8316,1.958643547,385.8049112,29.81567742,401.3800659,6.02,99.98,0.78,30.174,171,0.001044,41.799
01/11/2016,321.1977557,0.56120022,206.3053493,0.007265705,50.01292051,82.4929429,30.93986325,1.312717491,6.731294608,-2.26399264,-0.138413786,0.006684247,NA,27.63695026,0.008698288,NA,0.034179746,251.4250247,29.91614178,1.044205496,1.13625,1.248201439,394.8350885,100638.632,0.627756947,392.2998534,29.87876214,394.0779972,6.02,99.98,0.55,29.7,148.5,0.0002385,42.12358333
01/12/2016,351.6977569,0.76248066,180.8640973,-0.023101902,71.38118366,80.25636456,29.97160496,1.479569033,8.61477561,-1.587921974,-0.056810883,0.178806395,NA,27.86224329,0.011419683,NA,0.041554075,223.5066795,28.56078381,1.051903114,1.084023669,1.185697809,388.4045941,100626.5917,-1.996004359,385.7614092,29.5436218,361.8421471,6.02,99.98,0.625,29.76666667,144.6,0.000267995,37.11953846
01/01/2017,21.19774221,0.696786441,185.1072553,0.004063337,61.55480779,80.90175969,29.90735372,1.363625964,8.629927543,-1.590944937,-0.101866737,0.003718394,NA,27.41702711,0.011229572,NA,0.03908645,261.0851035,NA,1.050675676,1.1,1.209813875,392.7591786,100741.8581,0.351072318,390.673347,29.97718168,393.7871485,6.02,99.98,0.772,30.26,171.48,9.64E-05,39.789
01/02/2017,50.69775263,0.970804888,171.3910752,0.015424702,63.18827706,82.49243888,32.48426673,0.956815032,11.64844651,-0.994036269,-0.091500282,0.040244288,NA,28.42237272,0.015683937,NA,0.050102694,322.9368521,NA,1.083175803,1.074285714,1.150190114,395.93375,100772.9887,1.332694211,393.9923551,29.97718168,404.7281073,6.02,99.98,1.776666667,29.94727273,260.4,0.0004052,49.21542857
01/03/2017,80.19775455,0.557676531,217.0827365,0.00339447,46.38984676,94.23357901,36.68577201,1.514712308,7.471086759,-1.351880031,-0.177318847,-0.414271586,NA,28.15286624,0.009551757,NA,0.04544285,314.3260574,NA,1.091653028,1.12312812,1.195325543,389.952371,100709.2504,0.293282217,387.9712009,29.97718168,389.466856,6.02,99.98,1.188571429,31.40916667,183.8,3.77E-05,51.23790909
01/04/2017,110.6977607,0.612017841,220.8252522,0.025715115,46.43778617,82.72414037,33.60264915,1.587631082,8.336260844,-1.494402413,-0.27354631,-0.322643043,NA,28.8177201,0.010574441,NA,0.046014105,337.5200478,NA,1.054421769,1.109965636,1.193379791,391.9049576,100642.2177,2.221785941,389.5986378,29.97718168,408.2081392,6.02,99.98,0.49,31.17,105.9,1.40E-05,49.7271
01/05/2017,138.6977897,0.353579799,203.0452738,0.021339495,32.06981192,92.48147751,33.52759122,1.538808707,5.033306359,-1.937696077,-0.008296204,-0.015553191,NA,28.67135403,0.006289323,NA,0.040897816,177.7472409,NA,1.058130401,1.153969527,1.246784566,396.9910457,100503.7824,1.843732392,394.1356096,29.6985341,405.1823566,6.02,99.98,0.6,31.77666667,140.6666667,4.40E-05,46.86718182
01/06/2017,166.9370366,0.349200553,198.0383209,0.002538079,26.32911356,92.63365298,27.74725805,1.628502606,5.464866493,-2.376249833,0.001858273,-0.299574254,NA,29.09584801,0.007124286,NA,0.037454061,194.1983919,31.19965824,1.040727273,1.108888889,1.286554004,398.7726715,100593.4996,0.219290056,396.0801977,31.81423088,394.4328174,6.02,99.98,0.7375,31.3725,192.2,1.50E-05,39.21258333
01/07/2017,197.7191338,0.317576431,195.9844593,0.003623589,26.05036986,98.33588718,35.80411086,1.434346822,4.466368147,-2.046348861,0.037408001,-0.290649575,NA,28.76815066,0.0058356,NA,0.038811119,185.395003,30.03825089,1.063318777,1.123076923,1.273591807,390.3523958,100594.0691,0.313078095,387.7699337,30.51954039,387.973644,6.02,99.98,0.585,31.4325,137.5,1.40E-05,43.42556522
01/08/2017,228.487714,0.364512146,208.4343573,0.012835447,23.72904122,87.54802092,32.64201967,1.610380619,5.240932009,-2.141720884,0.00475618,-0.0004344,NA,27.40983939,0.006483102,NA,0.039184545,189.4181372,29.80303295,1.051735875,1.138558432,1.255197133,391.6486579,100562.469,1.108982584,388.8652644,30.35507198,397.2637593,6.02,99.98,0.31,31.2475,87.4,9.80E-05,40.74930435
01/09/2017,258.989456,0.398001135,208.4062929,0.027523188,17.6385826,86.30370225,30.95686046,1.591397461,5.617892048,-1.91266051,-0.011295807,0.0653831,NA,26.91383032,0.006130238,NA,0.041798866,167.4512258,29.68361526,1.070432357,1.159737418,1.268765133,390.7178025,100629.3417,2.378003427,388.2440329,30.24056872,408.8464851,6.02,99.98,0.41,31.046,101,6.95E-05,46.82304762
01/10/2017,289.5926224,0.469108807,209.1112185,-0.002547054,18.03883663,87.15925926,32.52634532,1.591989807,6.667102217,-2.074257875,-0.010013537,-0.00324663,NA,27.58393537,0.008443272,NA,0.037311304,191.3184844,30.22692569,1.047149894,1.10647482,1.238905325,391.8674618,100584.746,-0.22006547,389.1551114,30.58614134,385.0076535,6.02,99.98,0.563333333,30.91428571,135.6666667,0.000171333,45.76314286
01/11/2017,320.0375748,0.624352769,181.6255052,-0.007333778,19.39005564,92.94343326,33.50363361,1.71980426,7.673680515,-1.984451406,-0.003596994,0.048890435,NA,26.98734058,0.008798342,NA,0.040325505,148.0694193,29.34879304,1.039832285,1.134670487,1.248351648,405.6177578,100437.8521,-0.63363839,402.1546005,29.48271513,383.9060849,6.02,99.98,0.936666667,30.67571429,170.3333333,0.000140667,41.09766667
01/12/2017,350.4699952,0.911689207,148.3675136,-0.048736659,22.31269729,86.8883245,31.57629158,1.379349022,10.36437763,-1.391494509,0.003913846,0.0672954,NA,27.22940866,0.014506611,NA,0.044352369,171.9160077,29.03592538,1.039375424,1.069637883,1.176348548,391.4911369,100596.8758,-4.210847322,388.8514498,29.21421705,349.5109485,6.02,99.98,1.603333333,29.87272727,252.5777778,0.000235331,44.3068
01/01/2018,16.48945524,0.544008817,180.2104846,-0.002752706,24.18798778,91.71692155,31.73232903,1.416752755,6.595858203,-1.888979217,-0.002349593,0.056487919,NA,26.28824532,0.008440919,NA,0.037264931,145.6510407,29.08308476,1.043978349,1.108882521,1.263848397,402.736387,100533.1001,-0.237833832,399.8273607,29.14970006,392.5968868,6.02,99.98,1.4,29.36666667,372.2666667,1.40E-05,42.67488
01/02/2018,45.97759426,0.708487297,174.294321,-0.026422376,8.122849999,77.72245219,28.82926679,1.390809659,9.408758474,-1.271523383,0.005334071,0.050326123,NA,27.49964289,0.012865444,NA,0.043347709,207.0172979,29.54085213,1.068215892,1.075301205,1.158935361,389.8320042,100675.988,-2.282893327,387.6519753,29.65029986,372.584439,6.02,99.98,2.239230769,29.79578947,356.4615385,5.32E-05,54.91
01/03/2018,75.47658,0.589098154,186.575718,-0.011106372,12.36094157,82.44511115,31.54744124,1.568279949,7.955514765,-1.623801515,0.001319168,0.050751032,NA,27.96419608,0.010661245,NA,0.043147957,211.9071447,30.40722828,1.049247606,1.099431818,1.224719101,401.0762291,100542.3434,-0.959590532,398.2408079,30.60485451,388.4888995,6.02,99.98,1.075714286,30.99857143,214.7714286,2.52E-05,55.7213913
01/04/2018,105.9939749,0.456104454,191.2554892,-0.004745381,22.36288285,84.74725891,29.34823189,1.582380773,6.288769396,-1.686904107,-0.013072414,0.062915484,0.000173037,28.04573446,0.008211199,NA,0.042175812,198.494661,30.5044755,1.051374819,1.097435897,1.236131934,404.3725549,100475.2938,-0.410000883,401.2604991,30.64811595,395.6261386,6.02,99.98,NA,31.15333333,NA,NA,50.91854545
01/05/2018,136.4803184,0.382743819,193.3495384,0.020802117,31.14376137,87.40758406,22.17792431,1.689503163,5.517746215,-1.979545326,0.008643137,0.038468669,0.000229061,27.85747613,0.006859274,NA,0.04076858,184.2587448,30.68531697,1.042494859,1.138373752,1.271334792,402.8286735,100507.427,1.797302879,399.8734591,30.69185574,410.8675924,6.02,99.98,0.515,31.51875,122.8,2.00E-05,51.23408333
01/06/2018,166.9927681,0.346699913,200.3739509,0.016204868,22.03790223,82.67836546,19.22102299,1.498422196,5.378612277,-2.008547753,2.44E-05,0.267029813,0.000138732,27.98720294,0.006539682,NA,0.039986852,181.0672368,30.3640772,1.057746479,1.136819484,1.236377025,399.3072132,100532.0444,1.400100583,396.3058597,30.36297374,406.4855393,6.02,99.98,0.563333333,31.85333333,157.2666667,0.000833333,41.4755
01/07/2018,197.4894574,0.339083292,199.7722283,0.016500547,27.06848774,81.02455798,19.10032121,1.445282996,4.687419196,-1.766743008,0.00191628,0.04159066,0.000107008,28.09075442,0.005784438,NA,0.043420051,178.1024262,29.72300753,1.075471698,1.119831815,1.273431994,396.9033855,100463.1085,1.425647225,393.7489285,29.74412103,404.6093836,6.02,99.98,0.58,30.315,174.5,4.00E-05,43.4164
01/08/2018,228.5049896,0.348228527,204.7067276,0.01120231,17.73211768,79.36327624,18.95437004,1.484996627,5.044520021,-2.098626191,-0.010201599,-0.11523165,0.000182904,28.11409133,0.006488609,NA,0.040628193,197.344259,30.06958773,1.078018996,1.122292103,1.271210014,396.9477619,100484.8525,0.967879553,393.9196184,30.08977001,400.3327569,6.02,99.98,0.3325,30.89714286,104.05,1.67E-05,47.12809091
01/09/2018,258.9894574,0.379819641,201.5942697,0.018021102,22.11514391,87.47066759,18.10312252,1.475922354,5.758992664,-2.147756258,9.97E-06,0.026888876,0.000138719,27.08221915,0.006652965,NA,0.039415245,164.0649035,29.51680898,1.048746518,1.161107168,1.270310192,397.9491823,100594.188,1.557023188,395.0855192,29.57018621,404.4906105,6.02,99.98,0.39,30.6975,111.8,1.40E-05,42.1712
01/10/2018,289.4894575,0.422312535,196.6217152,-0.00729621,28.61037004,91.1533965,24.69861866,1.604778063,6.933843807,-2.063481674,0.000925126,0.050375292,3.459594726,27.34029413,0.008231984,NA,0.039208566,162.6004162,29.64989716,1.034389751,1.128746594,1.244897959,400.9123846,100650.7977,-0.630392548,398.374948,29.66093025,386.6254083,6.02,99.98,0.646,30.96666667,134.04,0.000228,47.9752
01/11/2018,319.9978601,0.383763915,189.2378705,-0.018852837,27.43356112,92.77472562,26.05947431,1.657774757,5.661206795,-2.028439506,-0.008061949,-0.139911421,0.000200419,27.6833217,0.007376699,NA,0.039524014,146.5670866,29.58791788,1.035614525,1.103773585,1.26962963,399.0662542,100578.2772,-1.62888516,396.2107454,29.58706702,379.4150697,6.02,99.98,1.375,30.46285714,1159.1,1.60E-05,42.84072
01/12/2018,350.5343029,0.49533842,188.3500272,0.002833854,22.44089556,93.98214743,23.85009759,1.513173573,6.74233553,-1.883081271,-0.001130256,0.002383513,0.000216235,27.59570193,0.008651343,NA,0.03740221,159.7290492,29.22093844,1.033424284,1.093815149,1.238434164,399.80944,100595.8302,0.244844993,397.2364974,29.22705043,396.9956416,6.02,99.98,1.336,30.66333333,233.92,2.12E-05,44.377
01/01/2019,16.48945625,0.872672469,170.6714191,-0.031327219,21.33413795,87.17003611,21.04818559,1.298099002,10.35682729,-0.94213348,-0.003756243,0.215242623,3.73E-05,27.8958598,0.01438358,NA,0.046768822,175.9008006,28.59243304,1.074274139,1.072157931,1.171097478,396.1909519,100661.7961,-2.706671709,393.9376031,28.68533189,370.214346,6.02,99.98,1.185,29.67444444,1826.55,7.77E-05,45.49333333
01/02/2019,45.98945506,0.697840376,184.9763285,-0.054683471,10.23213743,89.19125034,28.08520375,1.285176901,8.604777604,-1.379391268,-0.000653213,0.154266962,3.73E-06,28.11743928,0.012012624,NA,0.042642527,200.8736634,29.22331202,1.058999253,1.057505601,1.182908546,393.7036029,100689.2666,-4.724651894,391.6017593,29.33895142,350.0719346,6.02,99.98,2.468888889,30.198,315.0222222,0.000132286,53.87982609
01/03/2019,75.48945175,0.606272113,197.4281724,-0.025384344,9.37039786,91.34003957,29.29466782,1.442490724,7.85355968,-1.453570936,-0.003566798,-0.048349455,0.00012269,28.72162101,0.010616862,NA,0.042200696,225.4446787,29.74879097,1.071283096,1.087866109,1.184083045,389.7599666,100596.3618,-2.193207349,387.1182688,29.85826434,374.6933547,6.02,99.98,1.57625,30.96583333,262.55,1.73E-05,55.62372727
01/04/2019,105.9865224,0.434535449,205.5283552,-0.002154773,22.0524181,93.3061857,32.11484743,1.51021686,6.104457287,-1.875341794,0.0004736,0.030684479,0.000179958,29.49103032,0.007950804,480.7468461,0.039423112,200.6976521,30.24306796,1.054340155,1.1171875,1.24122807,406.7028768,100461.3983,-0.186172408,403.5269679,30.30012382,399.334165,6.02,99.98,0.624,32.3225,129.68,1.64E-05,52.71581818
