Sampling,date,month,year,state,station,replicate,dissolve oxygen,Light (µmol),Temperature(⁰C),Salinity,Chl a (mg/L),Nitrate (mg/L),Nitrite  (mg/L),Phosphate  (mg/L),Silica  (mg/L),Ammonia  (mg/L),effective Fv/Fm,"Max Fv/Fm - in situ health - highervalue higher health, 0.3 - 0.7 for phytoplankton",alpha,rETRMAX,eK Value,Protoperidium sp,Dinophysis caudata,Dinophysis miles,Ceratium fusus,Tripos delinatus,Tripos deflexus,Tripos furca,Thalassionema nizchioides,Thalassionema frauenfeldii,Pleurosigma sp,Bacteriastrum hyalinum,Bacteriastrum delicatulum,Rhizosolenia crassispina,Coscinodiscus radiatus,Eucampia zodiacus,Skeletonema costatum,Dactyliosolen phuketensis,lauderia annulata,Odontella sinensis,Odontella mobiliensis,Pseudo-nitzschia fraudulenta,Ditylum brighwellii,Ditylum sol,Chaetoceros lorenzianum,Chaetoceros denticulatus ,Chaetoceros decipiens,Chaetoceros curvisetus ,Chaetoceros lauderii,Chaetoceros similis,"Chaetoceros contortus
",chroococcus sp,guinardia flaccida,Thalasirosira sp,Proboscia indica,ornithocercus sp,Noctiluca scintillans,Bellerocha horologicalis,Triceratium scitulum 
1,3,november,2015,Penang,1 (jeti Cemacs),1,5.88,536.5,31.9,31,1.514,0.108,0.006,0.0164,0.949,0.003,0.411,0.297,0.074,19.365,261.6891892,3,3,0,1,0,0,0,15,0,0,0,0,4,10,14,18,28,73,4,0,3,4,2,0,0,64,0,10,0,0,30,0,14,0,0,0,0,0
1,3,november,2015,Penang,1 (jeti Cemacs),2,6.2,581.4,31.8,33,,0.158,0.000,0.0487,1.576,0.011,0.307,0.304,0,0,NA,20,4,0,1,0,0,6,5,6,2,1,5,11,14,2,14,19,166,3,0,8,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
1,3,november,2015,penang,1 (jeti Cemacs),3,6.04,607.6,31.9,28,,0.156,0.002,0.0360,1.263,0.007,0.377,0.000,0,0,NA,13,6,0,0,0,0,3,4,29,2,0,0,2,5,7,7,39,0,1,4,2,5,6,0,0,0,0,0,0,0,25,20,7,5,0,0,108,0
1,3,november,2015,kedah,2 (kuala muda),1,6.4,1910,31.3,31,0.146,0.098,0.003,0.0158,0.752,0.001,0.144,0.267,0.112,12.659,113.0267857,1,0,0,0,0,0,0,54,0,0,4,0,18,0,0,18,0,16,6,0,6,19,27,26,0,51,0,54,0,0,0,0,0,0,0,0,0,0
1,3,november,2015,kedah,2 (kuala muda),2,6.42,1982.5,31.4,33,,0.112,0.003,0.0297,1.359,0.001,0.170,0.357,0.083,14.103,169.9156627,2,0,0,0,0,0,0,45,16,1,5,8,10,3,2,30,3,21,2,0,22,14,6,63,3,28,0,16,0,0,0,0,0,0,0,0,0,0
1,3,november,2015,kedah,2 (kuala muda),3,6.42,1913.9,31.4,28,,0.122,0.005,0.0354,0.358,0.001,0.130,0.341,0.073,12.602,172.630137,1,0,0,0,0,0,0,17,60,2,8,22,4,0,16,0,7,21,0,0,7,14,10,0,6,25,0,0,0,0,59,2,4,11,0,0,4,0
1,3,november,2015,kedah,3 (P. Bidan),1,5.8,2175,32.4,30,8.943,0.031,0.043,0.0177,1.114,0.000,0.148,0.269,0.085,12.244,144.0470588,14,1,0,1,0,0,0,43,0,4,1,2,13,13,4,40,8,0,16,0,15,23,16,0,1,52,0,33,0,0,0,0,0,0,0,0,0,0
1,3,november,2015,kedah,3 (P. Bidan),2,5.74,2153,31.6,28,,0.101,0.014,0.0354,0.718,0.001,0.150,0.355,0.093,18.683,200.8924731,19,3,0,0,0,0,4,53,57,5,0,0,9,9,0,17,4,15,23,0,12,14,8,0,0,37,0,11,0,0,0,0,0,0,0,0,0,0
1,3,november,2015,kedah,3 (P. Bidan),3,5.63,2147,32.6,31,,0.101,0.030,0.0373,0.546,0.001,0.141,0.375,0.065,19.245,296.0769231,10,1,0,0,0,0,3,35,33,2,1,0,3,2,7,84,0,2,16,1,6,25,13,0,3,27,0,0,0,0,0,0,0,6,0,0,20,0
1,3,november,2015,kedah,4 (tukun terendak),1,5.17,811,30.5,31,2.889,0.220,0.004,0.0209,0.641,0.000,0.204,0.265,0.074,13.15,177.7027027,5,8,6,3,3,0,5,60,0,3,0,2,1,7,0,12,0,19,0,0,4,76,31,7,0,13,0,32,0,0,0,0,3,0,0,0,0,0
