normalized_frequency,f_nat*cospec(w_u)/cov(w_u)
0.0214,0.104002
-9999,-9999
-9999,-9999
-9999,-9999
0.0428,0.489329
-9999,-9999
0.0643,0.27232
-9999,-9999
0.0857,0.0429
0.107112,-0.194314
0.128534,0.316851
0.160667,-0.057
0.192801,-0.255523
0.224934,0.22092
0.267779,0.0684
0.321335,0.210868
0.396313,-0.106324
0.482002,0.38821
0.567691,1.37132
0.674802,0.118335
0.814047,0.191973
0.985426,0.148921
1.17823,0.301064
1.40316,0.399894
1.69236,0.546863
2.03512,0.305378
2.44214,0.634041
2.93486,0.141065
3.51326,0.0522
4.20948,0.227184
5.05566,0.135491
6.06251,0.216868
7.27287,0.350008
8.72959,0.103772
10.4755,0.109032
12.5749,0.0949
15.0813,0.0841
18.0911,0.00442
21.7115,-0.0103
26.0388,0.0425
31.2337,-0.0307
37.4783,-0.00312
44.9654,-0.000853
53.9521,-0.0201
64.7275,-0.00626
77.6558,-0.00593
93.1656,-0.0241
111.771,-0.0112
134.104,-0.0177
160.892,-0.0218
