index1,lat1,lon1,time1,swh1,wind_speed_alt1
4303,6.655999,282.498731,03/11/2015 11:00,1.211,2.13
4190,2.545923,281.964621,06/11/2015 11:13,NA,NA
1419,3.056429,282.49219,07/11/2015 23:15,NA,NA
4232,2.516132,280.530807,09/11/2015 11:19,1.463,8.06
1352,7.448826,282.022206,10/11/2015 23:19,NA,NA
4260,2.555309,279.08249,12/11/2015 11:25,1.947,4.56
1364,7.439785,280.583878,13/11/2015 23:25,1.356,2.57
1352,7.48194,279.160847,NA,NA,NA
1361,7.461231,277.724071,19/11/2015 23:36,1.934,4.88
4161,3.47888,282.487956,22/11/2015 11:11,0.852,7.58
4223,2.556318,281.259985,25/11/2015 11:16,1.042,1.25
1369,6.244531,282.497255,26/11/2015 23:16,0.734,2.26
4293,2.553333,279.825643,28/11/2015 11:22,1.062,4.62
1367,7.4922,281.336481,29/11/2015 23:22,0.909,6.13
4298,2.509629,278.397696,01/12/2015 11:28,1.771,5.12
1359,7.44912,279.889505,NA,NA,NA
1366,7.492873,278.461894,05/12/2015 23:33,0.576,0.98
4225,6.712493,282.499865,08/12/2015 11:09,NA,NA
4208,2.500918,281.992661,11/12/2015 11:13,NA,NA
1412,2.974328,282.496052,12/12/2015 23:14,NA,NA
4213,2.552371,280.545689,14/12/2015 11:19,1.404,8.47
1354,7.432537,282.045216,15/12/2015 23:19,NA,NA
4238,2.529525,279.115303,17/12/2015 11:25,1.096,4.76
1352,7.491703,280.623167,18/12/2015 23:25,0.844,4.59
4297,2.509411,277.684589,20/12/2015 11:30,1.206,4.47
1357,7.479898,279.185692,NA,NA,NA
1369,7.439832,277.74288,24/12/2015 23:36,0.968,2.72
4149,3.552621,282.492366,27/12/2015 11:10,0.907,3.84
4218,2.51014,281.288427,30/12/2015 11:16,0.681,2.33
1358,6.116193,282.48894,31/12/2015 23:16,1.076,4.31
4291,2.523603,279.85246,02/01/2016 11:22,1.484,4.89
1354,7.446466,281.350929,03/01/2016 23:22,0.855,4.74
4296,2.514951,278.421797,05/01/2016 11:27,1.186,2.84
1348,7.47854,279.925496,06/01/2016 23:27,NA,NA
